0.306349 0.207742 0.979748 
0.108062 0.540138 0.354638 
0.508509 0.301246 0.438870 
0.393590 0.018451 0.680407 
0.510772 0.470923 0.111119 
0.870187 0.900183 0.707322 
0.817628 0.230488 0.258065 
0.360861 0.194495 0.162329 
0.794831 0.844309 0.408720 
0.917118 0.885998 0.133736 
0.644318 0.194764 0.594896 
0.543806 0.441223 0.449556 
0.378609 0.225922 0.262212 
0.140144 0.147829 0.042054 
0.811580 0.170708 0.602843 
0.199873 0.239502 0.797364 
0.532826 0.227664 0.711216 
0.948925 0.799653 0.167556 
0.350727 0.435699 0.221747 
0.990110 0.473015 0.831214 
0.939002 0.311102 0.117418 
0.240076 0.089823 0.324964 
0.875943 0.923380 0.296676 
0.016521 0.644551 0.655780 
0.550156 0.430207 0.318778 
0.388615 0.633064 0.420190 
0.622475 0.184816 0.424167 
0.779689 0.584382 0.781909 
0.587045 0.904881 0.507858 
0.476638 0.726654 0.113193 
