0.075854 0.601982 
0.404209 0.471957 
0.053950 0.262971 
0.352762 0.340220 
0.530798 0.654079 
0.592824 0.529842 
0.779167 0.689214 
0.356345 0.716101 
0.934011 0.748152 
0.964966 0.988379 
0.129906 0.450542 
0.154438 0.720493 
0.568824 0.083821 
0.394908 0.912577 
0.469391 0.228977 
0.387296 0.505499 
0.011902 0.913337 
0.726955 0.558269 
0.337123 0.152378 
0.388570 0.503190 
0.162182 0.825817 
0.927493 0.462474 
0.794285 0.538342 
0.436118 0.546592 
0.311215 0.996135 
0.862678 0.447584 
0.528533 0.078176 
0.620360 0.854451 
0.165649 0.442678 
0.119547 0.604231 
