0.489764 0.751267 0.349984 
0.457989 0.821246 0.907365 
0.445586 0.255095 0.196595 
0.487569 0.820841 0.848468 
0.646313 0.505957 0.251084 
0.793975 0.940074 0.955018 
0.709365 0.699077 0.616045 
0.920875 0.412667 0.778898 
0.754687 0.890903 0.473289 
0.807531 0.423165 0.987460 
0.276025 0.959291 0.351660 
0.705774 0.580957 0.067595 
0.679703 0.547216 0.830829 
0.002818 0.158058 0.793598 
0.655098 0.138624 0.585264 
0.710704 0.761731 0.594504 
0.162612 0.149294 0.549724 
0.643961 0.230156 0.732799 
0.118998 0.257508 0.917194 
0.456033 0.809735 0.695233 
0.498364 0.840717 0.285839 
0.773917 0.988522 0.679820 
0.959744 0.254282 0.757200 
0.573755 0.332448 0.392320 
0.340386 0.814285 0.753729 
0.876757 0.299832 0.561557 
0.585268 0.243525 0.380446 
0.808175 0.013539 0.208068 
0.223812 0.929264 0.567822 
0.017774 0.217238 0.527371 
