0.131973 0.547009 
0.490301 0.718470 
0.942051 0.296321 
0.954943 0.287805 
0.956135 0.744693 
0.651969 0.623436 
0.575209 0.188955 
0.757504 0.811874 
0.059780 0.686775 
0.435246 0.312508 
0.234780 0.183511 
0.552881 0.385711 
0.353159 0.368485 
0.053153 0.343930 
0.821194 0.625619 
0.322511 0.815769 
0.015403 0.780227 
0.404981 0.669285 
0.043024 0.081126 
0.908434 0.379419 
0.168990 0.929386 
0.809137 0.458497 
0.649115 0.775713 
0.258296 0.303614 
0.731722 0.486792 
0.129847 0.910565 
0.647746 0.435859 
0.493327 0.488618 
0.450924 0.446784 
0.378500 0.755790 
